"id","fqdn/ip","port","severity","finding","cve","cwe"
"HSTS_time","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","OK","185 days (=16000000 seconds) > 15552000 seconds","",""
"HSTS_subdomains","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","INFO","only for this domain","",""
"HSTS_preload","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","INFO","domain is NOT marked for preloading","",""
"HPKP","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","INFO","No support for HTTP Public Key Pinning","",""
"banner_server","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","INFO","Apache","",""
"banner_application","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","INFO","No application banner found","",""
"cookie_count","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","INFO","0 at '/'","",""
"Upgrade","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","INFO","h2","",""
"Cache-Control","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","INFO","max-age=3, must-revalidate","",""
"banner_reverseproxy","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","INFO","--","","CWE-200"
"heartbleed","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","OK","not vulnerable, no heartbeat extension","CVE-2014-0160","CWE-119"
"CCS","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","OK","not vulnerable","CVE-2014-0224","CWE-310"
"ticketbleed","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","OK","no session ticket extension","CVE-2016-9244","CWE-200"
"ROBOT","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","OK","not vulnerable, no RSA key transport cipher","CVE-2017-17382 CVE-2017-17427 CVE-2017-17428 CVE-2017-13098 CVE-2017-1000385 CVE-2017-13099 CVE-2016-6883 CVE-2012-5081 CVE-2017-6168","CWE-203"
"secure_renego","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","OK","supported","","CWE-310"
"secure_client_renego","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","OK","not vulnerable","CVE-2011-1473","CWE-310"
"CRIME_TLS","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","OK","not vulnerable","CVE-2012-4929","CWE-310"
"BREACH","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","MEDIUM","potentially VULNERABLE, gzip HTTP compression detected  - only supplied '/' tested","CVE-2013-3587","CWE-310"
